x,y
272.3624769142896,-139.33806989974016
287.09294052789295,-151.01746002225104
305.37756231267804,-165.5147678028931
323.66206134241276,-180.01177395049714
341.94730309840463,-194.50930646063614
353.80335997011,-203.90964476879364
358.1963018677853,-207.39262773239483
374.08048184862326,-220.17043262522452
391.65519825066923,-235.5884777635443
408.0051056970796,-252.27250602276632
416.9305818442311,-263.74309003160806
425.0032369966786,-271.05402668881544
437.3591157249217,-286.75118363754837
453.0620920141993,-303.8116159797584
472.30297320965025,-311.7845926164341
478.41040208539283,-309.6168925493928
489.5527807987464,-300.2165684596773
490.39652964751656,-280.37107194609496
482.78140369275434,-258.2721502477093
477.043213657368,-240.4612196791107
477.043213657368,-240.4612196791107
476.07847564189694,-237.26959831538363
474.05587562497857,-230.57286236975423
473.42528637781777,-228.42863884833557
470.90533290157083,-220.38580124718212
470.04986546163326,-217.50195126039893
469.04309267061745,-213.98374432501538
463.43377733737134,-196.7483364206117
456.96489663607645,-174.29337282825475
451.94240857675675,-158.3413496415634
449.77865102781107,-151.34553214283977
445.4601375575742,-138.41325898666145
435.74628080272055,-117.19149043919747
426.51613511733285,-99.07272300552408
412.86344702387476,-80.24967925865263
395.9268294485433,-64.28318132371994
376.1917642155754,-52.40354627306276
354.3072977456808,-44.61509284117868
333.00702643085447,-41.85499891944405
309.9428745956227,-39.0503878963463
287.1288962144273,-34.07366526958498
264.8024893476331,-27.10235718772533
251.6904057176122,-21.55961833229265
230.72136409389796,-11.395357642347374
210.81687497377393,0.5978433086570838
191.46485730722532,13.530492300340585
173.42074560561912,28.299489302565696
155.9940333493743,43.78622321002007
142.50897427613154,57.52667683822541
142.50897527656915,57.52667720207015
139.9606576298178,60.91943744664841
130.1218526976876,75.11828529281911
120.24726664177567,89.15853270007105
106.94531947664936,107.77955787375588
106.30952348831025,108.4162153397135
103.4296530109227,112.78388282083749
96.48399363419958,128.0275856685932
96.4151362692386,128.09785977845456
92.67461804553723,137.7926959355491
84.68645319591779,154.48743104159394
79.77411075834254,167.62662025956317
69.38235949192295,186.38632622728457
51.24426719034465,200.1886947703714
33.59892584558757,215.31205570540124
14.188296550016984,228.17603078149293
-7.626409514054042,236.26844318629026
-28.27374809684991,239.83772343865814
-51.29514417044484,238.2205194819583
-59.373145325321445,238.48314241242767
-59.42029859996834,238.47999692661583
-59.44583288391982,238.4713043503876
-78.59981182014094,238.54662465821653
-100.60297449119048,244.88104636059592
-117.84566740628594,259.4146052702826
-118.30344362316829,259.76772198871555
-122.41835117047383,263.69879467412477
-132.92809785420815,273.88324979732215
-149.37155205603483,290.2393203605088
-164.7963220424909,307.33376631487675
-175.50268782650372,315.4155118680423
-192.1930863166351,324.71946516551327
-209.77855208657564,331.14729298118255
-231.2679669342213,336.94783923631763
-251.40422924122984,348.308680572592
-270.20139232120096,362.01516888456376
-288.48743351599137,376.41649603611955
-305.7853806852137,391.85257595619896
-322.775874128631,407.6991940027743
-341.3740362321173,421.3949569521972
-363.27859421661435,427.9635318231674
-384.8691037393152,421.6264637137453
-400.0392001929113,404.3634587393411
-414.49934724115457,386.2401297083053
-429.0033800971262,368.0402801368173
-443.087658219359,349.5354642219884
-457.14178598591064,330.9432799116069
-471.21882822764235,312.3652915971339
-485.29508363919416,293.789375631127
-498.91309010657653,274.95379417977813
-513.0935521429204,256.4703087302741
-526.7917633959748,237.6608127791014
-534.5739811643218,218.4877573553329
-526.1711903627237,197.09375490660378
-513.183859651833,177.8180509284221
-500.5668308355256,158.19061719651566
-487.68397067141495,138.78227620438236
-475.42340403989215,118.99413973592115
-462.28106839176786,99.83712669628171
-449.27107234663447,80.56445543953305
-436.27862601348636,61.255648231645196
-423.52416661706013,41.77575777379179
-410.47119043098587,22.493108617011313
-396.97420352706433,3.468747147447734
-379.694441795673,-12.13657993719238
-357.5208185217801,-19.842785359916817
-334.19835689253017,-22.33720857816985
-310.8594270744253,-20.997434697806273
-287.5265915800463,-22.702506828870618
-266.2514060383144,-31.255842992801156
-250.03186508107558,-47.56212377048909
-235.7134289068187,-65.96738208220678
-221.86015770473549,-84.78297642682276
-207.88102819382047,-103.55290586712285
-192.1134167426404,-120.92846704893087
-176.12424089641516,-138.07736465257636
-159.86090431205784,-154.90942548797773
-142.1026250557758,-170.31603371308788
-123.60922782532096,-184.58034583156248
-103.04771446748468,-195.64460874096497
-80.07424626783154,-199.9543168197388
-56.939619196193995,-195.12601271033176
-39.51051103828363,-179.16140690967984
-27.870538305710284,-158.7692947623725
-17.91673037818388,-137.90750897323787
-4.312816854810418,-119.14546690813842
13.618641987081919,-104.27751300707175
33.934273744611986,-92.86914223435528
56.197654400074036,-85.87951163447579
79.17678696026297,-81.97814540694753
102.4789047802818,-81.1138454438441
125.77625583855549,-81.11139586899003
149.12694849691803,-81.07279977891534
172.47663941046005,-81.10740033606154
195.53988838768493,-84.81651735737269
216.22303074420424,-94.96931903726806
234.57718372121633,-109.35686437522767
253.94414597587544,-122.47775147279062
271.93947270285855,-137.4239430403896
281.7088396087144,-146.19150324658213
